Date,Type,Lat,Long,Region,Text
2070-04-11,Total,29.1,135.1,North Pacific Ocean,"2070-04-11:: Total: Sri Lanka, Myanmar, Thailand, Laos, Vietnam, Philippines; Partial: Asia, Indies, Alaska, Canada"
2070-10-04,Annular,-32.8,60.4,Indian Ocean,"2070-10-04:: Annular: Angola, Zambia, Zimbabwe, Mozambique, Madagascar; Partial: Africa, Antarctica, Australia"
2071-03-31,Annular,-16.7,-37,South Atlantic Ocean,"2071-03-31:: Annular: Chile, Argentina, Paraguay, Brazil, Republic of the Congo, Zaire; Partial: South America, Africa, Antarctica"
2071-09-23,Total,14.2,-76.7,North Atlantic Ocean,"2071-09-23:: Total: Mexico, Colombia, Venezuela, Guyana, Suriname, French Guiana, Brazil; Partial: Americas, Africa"
2072-03-19,Partial,-72.2,-30.4,Antarctic Ocean,"2072-03-19:: Partial: Antarctica, South America"
2072-09-12,Total,69.8,102,Asia,"2072-09-12:: Total: Russia; Partial: Greenland, Europe, Asia"
2073-02-07,Partial,70.5,114.9,Asia,"2073-02-07:: Partial: Asia, Alaska"
2073-08-03,Total,-43.2,-89.4,South Pacific Ocean,"2073-08-03:: Total: Chile, Argentina; Partial: South America, Antarctica"
2074-01-27,Annular,6.6,78.8,Indian Ocean,"2074-01-27:: Annular: Sudan, Ethiopia, Somalia, Sri Lanka, Myanmar, Thailand, Laos, Vietnam, China, Japan; Partial: Africa, Asia, Indies"
2074-07-24,Annular,12.8,133.7,North Pacific Ocean,"2074-07-24:: Annular: Thailand, Cambodia, Vietnam, Philippines; Partial: Asia, Indies, Australia, New Zealand"
2075-01-16,Total,-37.2,-94.1,South Pacific Ocean,"2075-01-16:: Total: Chile, Argentina, Paraguay, Brazil; Partial: New Zealand, South America, Antarctica"
2075-07-13,Annular,63.1,95.2,Asia,"2075-07-13:: Annular: south Europe, Russia; Partial: Europe, Asia, Africa, north North America"
2076-01-06,Total,-87.2,-173.7,Antarctica,"2076-01-06:: Total: Antarctica; Partial: Australia, South America"
2076-06-01,Partial,-64.4,-51.2,Antarctic Ocean,"2076-06-01:: Partial: South America, Antarctica"
2076-07-01,Partial,67,-98.1,North America,"2076-07-01:: Partial: Russia, North America"
2076-11-26,Partial,63.7,40.1,Europe,"2076-11-26:: Partial: Africa, Europe, west Asia"
2077-05-22,Total,-13.1,148.3,South Pacific Ocean,"2077-05-22:: Total: Australia; Partial: Indies, Australia, New Zealand, Antarctica"
2077-11-15,Annular,7.8,-70.8,South America,"2077-11-15:: Annular: United States, Caribbean, Colombia, Venezuela, Brazil, Guyana, Suriname, French Guiana; Partial: Americas"
2078-05-11,Total,28.1,-93.7,North Atlantic Ocean,"2078-05-11:: Total: Mexico, United States; Partial: Americas"
2078-11-04,Annular,-27.8,-83.3,South Pacific Ocean,"2078-11-04:: Annular: Chile, Argentina; Partial: Americas, Antarctica"
